country,age_grp,meas,iso3c,value,itz
Portugal,65-75,L95,PRT,3.7999999999999995e-5,Europe
Qatar,65-75,L95,QAT,0,Asia-Europe
Republic_of_Korea,65-75,L95,KOR,2e-5,Eastern and Southern Asia
Moldova,65-75,L95,MDA,1.3000000000000001e-5,Europe
Romania,65-75,L95,ROU,4.7000000000000004e-5,Europe
Russia,65-75,L95,RUS,1.7e-5,Eastern and Southern Asia
Rwanda,65-75,L95,RWA,8e-5,Asia-Europe
Saint_Lucia,65-75,L95,LCA,0,Southern America
Saint_Vincent_and_the_Grenadines,65-75,L95,VCT,0,Southern America
Samoa,65-75,L95,WSM,0,Oceania-Melanesia-Polynesia
Sao_Tome_and_Principe,65-75,L95,STP,0,Africa
Saudi_Arabia,65-75,L95,SAU,7.2e-5,Asia-Europe
Senegal,65-75,L95,SEN,7.400000000000001e-5,Africa
Serbia,65-75,L95,SRB,2.6000000000000002e-5,Europe
Seychelles,65-75,L95,SYC,0,NA
Sierra_Leone,65-75,L95,SLE,7.3e-5,Africa
Singapore,65-75,L95,SGP,3.12e-4,Eastern and Southern Asia
Slovakia,65-75,L95,SVK,1.8e-5,Europe
Slovenia,65-75,L95,SVN,1e-5,Europe
Solomon_Islands,65-75,L95,SLB,7.099999999999999e-5,Oceania-Melanesia-Polynesia
Somalia,65-75,L95,SOM,7.400000000000001e-5,Africa
South_Africa,65-75,L95,ZAF,2.99e-4,Africa
South_Sudan,65-75,L95,SSD,7.3e-5,Africa
Spain,65-75,L95,ESP,3.7000000000000005e-5,Europe
Sri_Lanka,65-75,L95,LKA,1.6e-5,Eastern and Southern Asia
Sudan,65-75,L95,SDN,7.900000000000001e-5,Africa
Suriname,65-75,L95,SUR,4.2999999999999995e-5,Southern America
Swaziland,65-75,L95,SWZ,6.2e-5,Africa
Sweden,65-75,L95,SWE,1.8999999999999998e-5,Europe
Switzerland,65-75,L95,CHE,3.5e-5,Europe
Syria,65-75,L95,SYR,1.6e-5,Asia-Europe
Taiwan,65-75,L95,TWN,1.7e-5,Eastern and Southern Asia
Tajikistan,65-75,L95,TJK,7.5e-5,Asia-Europe
Thailand,65-75,L95,THA,1.7e-5,Eastern and Southern Asia
Macedonia,65-75,L95,MKD,6e-6,Europe
