"","iso3c","age_grp","cluster_name","yll"
"538","TUR",2,"Asia-Europe",29.1179693846949
"539","UZB",2,"Asia-Europe",27.9529166029015
"540","YEM",2,"Asia-Europe",26.9936327438249
"541","BGD",3,"Eastern and Southern Asia",17.4638623180356
"542","BRN",3,"Eastern and Southern Asia",16.9004513735496
"543","BTN",3,"Eastern and Southern Asia",16.4306096755554
"544","CHN",3,"Eastern and Southern Asia",18.2472942926598
"545","HKG",3,"Eastern and Southern Asia",19.2546418052193
"546","IDN",3,"Eastern and Southern Asia",15.0164796666161
"547","IND",3,"Eastern and Southern Asia",15.2915209829984
"548","KHM",3,"Eastern and Southern Asia",17.0406484509293
"549","KOR",3,"Eastern and Southern Asia",19.2900177695768
"550","LAO",3,"Eastern and Southern Asia",16.1906767658934
"551","LKA",3,"Eastern and Southern Asia",17.7908077647248
"552","MAC",3,"Eastern and Southern Asia",20.0988172737968
"553","MDV",3,"Eastern and Southern Asia",18.6083421054938
"554","MMR",3,"Eastern and Southern Asia",16.2328106695427
"555","MNG",3,"Eastern and Southern Asia",16.3589469824822
"556","MYS",3,"Eastern and Southern Asia",17.0702275500154
"557","NPL",3,"Eastern and Southern Asia",16.1850374910089
"558","PHL",3,"Eastern and Southern Asia",16.4849044443187
"559","PNG",3,"Eastern and Southern Asia",15.6456814221059
"560","PRK",3,"Eastern and Southern Asia",18.347452047946
"561","RUS",3,"Eastern and Southern Asia",16.1160476810357
"562","SGP",3,"Eastern and Southern Asia",19.1947416983065
"563","THA",3,"Eastern and Southern Asia",19.9556430510817
"564","TLS",3,"Eastern and Southern Asia",16.1582292101537
"565","VNM",3,"Eastern and Southern Asia",18.7720527116374
"566","JPN",3,"Eastern and Southern Asia",20.4070959810799
"567","TWN",3,"Eastern and Southern Asia",19.5786382144212
"568","AGO",3,"Africa",15.6316963336868
